value
-103
-3
12
5
5
0
4
15
22
35
53
82
41
0
-8
-8
-9
-8
-8
-8
-7
-7
-6
-6
-6
-5
-5
-5
-4
-4
-3
-4
-4
-3
-2
-3
-3
-3
-3
-73
-162
-162
-108
-46
16
27
28
27
26
24
23
22
21
19
18
17
17
16
15
14
13
12
12
11
10
16
40
22
9
9
22
19
19
11
16
8
9
12
11
13
16
1
-6
-1
0
10
81
4
-101
-3
-1
2
3
0
0
5
0
0
-8
-18
-14
0
-6
0
0
0
-2
-3
-4
3
7
1
-5
-13
-8
0
36
119
-146
-11
-14
-11
-3
0
-2
7
4
0
-2
-14
-3
-3
-3
3
2
-4
2
1
0
8
6
8
-2
-17
0
-4
34
120
-97
-19
-14
-2
-7
2
1
12
13
5
4
-8
-13
-14
-7
-6
-6
-6
-2
-2
-1
4
9
12
-5
-10
-7
-7
47
118
-138
-9
-18
-7
-9
0
-7
10
4
3
0
-10
-15
-12
0
6
-2
4
0
4
9
8
5
1
-5
-4
-1
19
117
-46
-53
-15
-4
-2
0
5
12
5
8
1
-5
-13
-11
-6
-1
2
2
0
0
5
7
14
8
-5
-7
-8
-3
69
91
-143
-14
-12
-7
-4
2
6
6
9
0
2
-8
-13
-4
0
5
1
4
-1
0
1
9
9
0
-15
-11
-2
1
82
46
-115
-10
-9
-1
0
0
6
9
6
-3
-1
-10
-9
-3
6
5
0
4
7
0
2
13
8
10
-1
-8
0
1
35
118
-121
-15
-16
-15
-9
-4
-4
2
0
5
-4
-9
-11
-5
2
5
1
1
-1
1
0
3
9
9
5
-10
-8
0
1
65
79
-145
4
-3
0
-1
5
6
8
3
1
-3
-12
-15
0
5
1
4
3
1
-1
2
7
11
0
0
-8
-9
2
30
119
-107
-29
-14
-3
1
2
7
7
9
5
0
0
-19
-3
-4
5
2
3
1
4
-1
6
6
16
3
-10
-8
-6
4
98
16
-101
-13
-17
-9
-7
-1
1
8
-2
5
-5
-16
-8
-7
-1
7
2
-4
5
2
1
7
14
5
2
-14
-5
-4
47
122
-142
-5
-13
-4
-5
1
5
10
4
6
1
-12
-6
-10
0
3
6
0
1
0
0
10
4
16
-1
-8
-5
-7
13
101
-28
-62
-23
-9
-9
-2
1
7
6
4
-1
-5
-13
-8
-7
4
3
5
4
-1
0
7
11
16
6
-10
-2
-6
1
80
59
-118
-13
-7
-8
-1
1
0
8
9
1
-9
-15
-11
-12
-4
5
0
2
-1
6
1
15
12
0
-14
-5
1
25
133
-108
-31
-21
-7
-4
3
1
10
4
9
-2
-7
-13
-10
3
1
4
1
2
-1
4
9
12
5
-1
-14
-1
8
76
98
-135
2
1
1
3
0
-5
-3
-9
-18
-27
-32
-30
-17
-1
-4
-1
3
3
6
4
10
9
3
-7
-3
7
26
99
-78
-29
3
12
9
13
8
7
14
1
6
-11
-7
-7
1
7
0
4
1
3
2
0
9
12
-2
-10
-7
0
7
88
5
-86
-21
-10
-3
-1
0
5
6
3
0
-9
-12
-6
0
2
3
5
1
-2
-2
-1
0
5
-2
-10
-10
-2
3
65
75
-141
2
-5
3
4
6
4
9
11
2
0
-14
-9
-6
3
5
1
1
-1
0
0
10
8
2
-12
-8
-5
-2
70
91
-151
-10
-13
-3
5
1
8
10
4
5
-10
-13
-11
-3
2
2
0
3
6
-5
8
11
7
1
-9
-9
-3
3
71
63
-136
-2
-6
1
0
5
8
7
4
3
-6
-15
-11
1
-1
5
4
-3
0
-2
2
10
6
1
-6
-11
-1
0
58
90
-148
-2
-1
-1
-1
6
4
6
8
2
-2
-10
-7
-5
3
2
3
-1
1
-1
4
1
8
9
1
-13
-6
1
8
92
0
-87
-7
-7
4
5
3
11
9
6
10
-6
-12
-13
-7
-7
6
-1
0
-1
2
0
9
17
7
-11
-9
-8
4
85
39
-116
-23
-15
-12
-6
2
0
7
6
10
-12
-12
-9
-1
3
1
4
4
3
0
0
5
9
-7
-7
-6
3
25
120
-104
-27
-11
-1
2
5
4
12
6
5
-2
-11
-10
-4
1
2
0
4
2
-1
4
5
8
1
-5
-11
-5
0
54
99
-154
2
-4
-1
2
6
3
13
2
2
-4
-7
-17
-2
-1
2
3
0
3
-4
6
7
10
-1
-5
-10
-4
0
70
60
-133
0
-2
4
5
2
3
11
3
3
-6
-10
-13
0
3
4
-1
6
1
-1
4
10
5
-1
-12
-7
3
7
96
-22
-76
-15
-4
1
0
5
6
4
6
0
-8
-15
-5
-1
3
0
0
0
-1
1
3
12
0
-2
-7
-6
0
64
98
-159
0
-6
-4
5
-1
11
5
8
1
-3
-12
-9
-2
2
3
5
1
-1
1
5
6
9
-3
-13
-8
-1
13
98
-30
-70
-10
-2
0
4
1
10
1
6
3
-7
-13
-11
0
2
4
1
0
-5
-5
9
9
7
0
-10
-7
0
15
93
-32
-61
-14
-8
3
1
5
3
9
8
3
-8
-11
-11
0
2
1
2
0
0
6
-3
12
9
0
-9
-8
-2
2
67
62
-122
-5
-8
-3
2
6
8
7
4
2
-5
-13
-14
-4
-1
0
6
-4
9
0
7
6
14
0
-7
-10
-6
11
93
36
-110
-12
-13
0
-2
10
6
9
9
7
-2
-12
-20
-9
-3
-4
2
0
-5
0
8
8
8
3
-12
-9
-5
23
110
-68
-45
-18
-2
-7
0
0
3
11
0
0
-11
-14
-14
1
1
2
2
0
1
2
6
8
6
-1
-14
0
0
40
110
-136
-4
-9
-1
3
0
10
3
5
2
0
-7
-12
-5
1
5
1
0
-1
0
6
6
12
-4
-6
-7
-2
6
74
40
-113
-7
0
0
1
6
6
4
3
1
-3
-12
-6
-4
2
8
1
0
3
0
9
10
15
2
-8
-8
-2
34
119
-102
-33
-16
-7
-2
10
30
38
57
86
16
-7
-13
-14
-13
-12
-11
-12
-11
-10
-9
-9
-8
-8
-7
-6
-7
-7
-5
-6
-158
-128
-108
-56
-36
-12
2
10
8
21
22
22
21
19
18
17
17
16
15
14
13
13
12
11
11
10
9
115
-49
-37
24
21
17
23
12
21
17
10
4
-1
-2
2
5
7
8
4
-3
6
3
12
7
0
-9
-6
0
2
62
51
-131
12
1
3
2
-1
3
5
0
-4
-9
-14
-5
-9
0
2
0
0
-3
-1
-3
3
7
1
-17
-9
-2
6
74
35
-119
-10
-1
-4
4
0
1
5
5
0
-10
-16
-6
-2
0
3
1
2
-3
5
1
3
13
-4
-19
-4
-4
19
114
-75
-50
-14
-8
0
5
5
5
10
1
-1
-9
-12
-12
2
2
3
0
0
1
3
7
8
7
-9
-14
-5
2
57
107
-164
1
-8
3
1
7
3
11
3
6
-7
-13
-9
-7
1
5
0
2
0
-1
1
10
14
-2
-11
-10
-5
0
69
72
-140
-4
-2
-2
3
0
6
10
5
0
-6
-7
-12
-2
3
1
8
0
4
0
1
6
8
6
-6
-12
-2
-3
33
110
-112
-21
-6
-2
-1
4
6
7
6
2
-1
-10
-9
-5
-4
4
1
-1
0
4
-4
8
4
10
0
-8
-8
-6
3
76
54
-130
-9
-1
0
3
5
1
9
7
0
-4
-13
-8
-2
2
8
-3
0
0
2
5
3
10
-2
-14
-8
-7
17
102
-19
-75
-11
0
0
6
6
7
13
3
2
-5
-17
-9
-4
4
-1
6
-1
-3
4
13
3
4
-12
-10
-3
3
66
86
-151
-4
-13
0
0
4
8
8
2
0
-1
-15
-9
-6
3
3
-1
-3
1
1
10
5
2
-4
-11
-4
1
57
101
-155
1
-5
2
2
5
6
15
7
6
-6
-11
-7
-4
2
4
4
0
0
5
9
9
8
-3
-11
-7
-5
43
120
-137
-14
-12
-10
-1
-3
4
6
6
7
-2
-14
-15
-10
-3
0
-2
1
0
3
3
5
9
0
-13
-6
-2
24
102
-73
-43
-8
0
-1
8
5
6
10
5
6
-6
-15
-11
-3
-9
-2
-2
-5
-7
8
13
8
3
-7
1
-1
13
88
48
-129
0
4
-6
18
2
6
0
15
1
-9
-7
-7
-14
-2
3
1
3
4
-1
7
8
-14
-11
-10
-9
-1
81
54
-140
-13
2
-1
-1
13
11
9
9
-6
-6
1
-8
1
8
-4
9
-3
4
20
8
16
-4
-6
0
-10
1
80
61
-146
-2
-10
-2
1
-7
18
11
-2
8
-6
-24
1
-17
7
1
0
10
-7
-7
5
16
6
-14
-15
3
-1
33
123
-135
-18
-3
0
-7
6
0
17
6
2
-5
-2
-30
0
4
-11
9
2
-7
-3
6
16
14
-6
1
-14
-1
14
79
54
-119
-11
9
-13
9
-4
6
14
3
5
0
-15
-18
-5
-6
0
1
8
-9
-4
5
17
-1
-8
-9
-4
-8
68
109
-164
-15
0
-9
2
4
4
10
2
-1
3
-9
-12
-3
6
-2
4
12
-13
2
13
7
0
21
-15
-7
1
23
140
-122
-21
-22
-2
-3
10
7
0
16
10
3
0
-18
-14
0
4
-5
-7
-9
-2
3
18
21
4
-9
-6
-11
-2
100
-18
-77
-18
-9
-13
7
0
12
2
-1
8
-2
-14
-10
0
4
0
7
6
2
12
21
20
14
-4
-7
0
8
104
-16
-68
-17
-4
6
11
26
27
40
28
-2
-9
-10
-11
-10
-10
-9
-8
-9
-8
-7
-7
-6
-6
-5
-6
-5
-5
-4
-4
-5
-7
-37
-48
-52
-53
-56
-45
-30
-9
0
-1
3
0
0
5
9
2
8
19
17
6
8
8
16
44
130
-143
24
24
32
26
28
28
33
24
30
29
37
48
70
53
-2
-14
-18
-16
-16
-16
-14
-13
-13
-12
-11
-11
-9
-10
-14
-118
-108
-97
-63
-28
-23
-3
-6
4
-2
-1
0
10
11
16
17
10
20
27
21
23
-3
13
12
18
85
28
-94
17
23
13
20
15
19
14
15
3
2
-4
3
5
6
10
3
0
4
4
16
0
-4
-9
-3
1
47
96
-158
9
5
6
5
1
2
6
0
0
-3
-7
-12
-5
-4
4
-7
-1
-4
4
3
3
0
-16
-12
-5
12
101
-40
-65
-18
-5
-5
2
3
6
5
0
-1
-5
-9
-16
2
0
0
-1
3
-1
10
5
4
-3
-12
-9
-4
50
112
-158
-9
-6
1
-2
0
9
8
8
4
-1
-4
-11
-3
0
6
4
1
0
0
14
12
4
-5
-11
-2
0
91
50
-107
-11
-2
3
9
8
6
11
6
0
-5
-13
-21
-14
-11
-7
-5
1
-3
6
21
19
21
23
35
28
0
-6
-9
-9
-9
-8
-8
-7
-7
-7
-6
-6
-6
-7
-22
-96
-79
-87
-64
-39
-24
-11
-1
8
16
20
12
0
9
20
33
96
-44
-29
23
25
25
19
25
16
30
10
31
0
1
0
2
14
8
11
-3
14
6
9
1
13
2
-10
-2
-1
34
120
-141
-17
-7
13
-9
2
10
3
9
-6
-2
1
-1
-14
0
-5
13
-4
-15
4
-5
5
7
3
-12
-18
22
0
104
17
-97
-30
-12
-3
-1
-6
0
-8
1
3
-14
-6
-16
-12
7
5
5
9
-9
6
3
15
1
0
-21
8
-4
83
79
-133
-33
-24
-11
15
-7
17
14
13
-5
-7
-21
-4
8
17
9
18
9
18
7
3
7
8
-21
-9
-12
26
123
-155
-36
-18
-10
-4
13
1
11
6
2
-7
-15
-11
-5
4
2
3
3
1
7
10
7
-3
-15
-6
1
53
130
-179
3
-5
1
8
2
6
9
14
8
-1
-6
-14
-6
5
-5
3
-8
0
0
7
-5
-11
-19
-10
0
69
83
-171
17
3
2
4
11
9
15
10
10
-9
-13
-6
5
6
-2
11
2
0
10
14
3
-7
-7
-7
1
62
104
-156
1
-6
3
-2
6
11
11
-1
5
-6
-15
-18
-14
-7
-1
-3
-3
1
5
11
13
-2
-8
-8
-5
23
112
-75
-43
-6
5
15
27
0
-10
-29
-33
-30
-35
